titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Full stack .net developer,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,,CDI,8
Gestionnaire administrative et financière,SOBOMO,Comptabilité / Gestion / Audit,Agadir,"rigueur, sens de lorganisation et fiabilite bonne maitrise des outils informatiques (notamment excel) connaissances de base en comptabilite esprit danalyse et sens des responsabilites",,CDI,2
Responsable logistique,,Entreprise / Import / Export,Tanger,bac+5 en logistique ou equivalent experience de 10 ans minimum en gestion logistique bonne maitrise des incoterms et procedures douanieres maitrise dexcel et des erp bon niveau en francais (anglais souhaitable),de 10 ans minimum en gestion logistique bonne maitrise des incoterms et procedures douanieres maitrise dexcel et des erp bon niveau en francais (anglais souhaitable),CDI,4
Pré vendeur détail à ain sbaa,Confidentiel,Grande Distribution,Casablanca,- niveau bac+2 ou equivalent. - experience minimale de 2 ans dans le,minimale de 2 ans dans le,CDI,3
Aide livreur permis c à,Confidentiel,Grande Distribution,Casablanca,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,3
Responsable logistique,Confidentiel,Grande Distribution,Casablanca,"en organisation, planification et gestion des priorites. capacite a piloter des equipes et a travailler en transversal. sens de lanalyse, reactivite et orientation resultats.","confirmee dans un poste similaire (idealement en grande distribution). bonne maitrise des outils informatiques, notamment excel (tcd, analyse de donnees). solides",A discuter,4
Superviseur de vente détail,Confidentiel,Grande Distribution,Agadir,demande,,CDI,3
Agent de livraison et recuperation a,Marrakech Location Voiture,Automobile,Marrakech,,,A discuter,3
Planificateur logistique,Confidentiel,Grande Distribution,Casablanca,"bac+2 a bac+5 en logistique, transport ou gestion. premiere experience souhaitee dans un poste similaire. bonne maitrise dexcel et sens de lorganisation.",souhaitee dans un poste similaire. bonne maitrise dexcel et sens de lorganisation.,CDI,4
Aide livreur permis c à,Confidentiel,Grande Distribution,Rabat,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,3
Assistante,MPI,Comptabilité / Gestion / Audit,Casablanca,bac+3 (gestion) maitrise avancee d'excel (test au recrutement) rigueur et autonomie. - commercial(e) terrain b2b (secteur chr),vente exigee profil oriente resultats (remuneration et moyens evolutifs selon performance). pourquoi nous rejoindre ?,A discuter,2
Chef de chantier btp expérimenté (h/f) avec équi,Atelier Reyad,Construction / Btp,Casablanca,"- experience +10 ans en btp (projets publics et prives) - capacite a gerer une equipe remuneration : 10 000 a 15 000 dh, negociable selon experience et profil localisation : casablanca -maroc","+10 ans en btp (projets publics et prives) - capacite a gerer une equipe remuneration : 10 000 a 15 000 dh, negociable selon experience et profil localisation : casablanca -maroc",CDI,3
Chef de projet technicien génie civil,Atelier Reyad,Construction / Btp,Casablanca,"formation genie civil experience +10 ans en btp remuneration : 8 000 a 12 000 dh, negociable selon experience localisation : casablanca-maroc","+10 ans en btp remuneration : 8 000 a 12 000 dh, negociable selon experience localisation : casablanca-maroc",CDI,3
Agent contrôle qualité,Société Industriel,Industrie / Ingénierie / Energie,Kénitra,formation : bac+2 ou bac+3 technique (construction metallique ou traitement de surface) ; bonne maitrise de la langue francaise et des outils informatiques ; bonne maitrise des outils qualite ; experience : minimum 1 an dans le secteur industriel ; disponibilite : immediate.,minimum 1 an dans le secteur industriel ; disponibilite : immediate.,A discuter,8
Infirmier(e) polyvalent(e) en hémodialyse,Centre d'Hémodialyse Ain Aouda,Santé / Médical,Tout le Maroc,- bac+3 avec une experience de 3 ans - excellentes aptitudes relationnelles - capacite a gerer les situations difficiles - ponctualite - l'hygiene et la securite des patients. merci denvoyer vos candidatures par mail via ce site marocannonces,"minimale de 3 ans, pour rejoindre notre equipe et assurer les responsabilites liees a ce poste.",A discuter,3
Agent téléassistante,Groupe Multi-Laboratoire LC2A,Accueil / Secrétariat / Administration,Mohammedia,"bac+2 minimum (gestion, commerce ou equivalent) excellente communication en francais (oral et ecrit) sens de lecoute et du service maitrise des outils informatiques une premiere experience en centre dappel est un atout conditions : poste base a mohammedia",en centre dappel est un atout conditions : poste base a mohammedia,A discuter,4
Opérateur de machine / ain sbaa,DominoRH,Industrie / Ingénierie / Energie,Casablanca,,dans un poste similaire niveau bac+diplome transport non assure,Interim,8
Opérateur d’emballage transport assuré,Dama,Autre,Had Soualem,"niveau bac ou qualification professionnelle une premiere experience en industrie ou en conditionnement est souhaitable bonne capacite a travailler sur une ligne de production connaissance des regles dhygiene, de securite et de qualite capacite a suivre les consignes et procedures","en industrie ou en conditionnement est souhaitable bonne capacite a travailler sur une ligne de production connaissance des regles dhygiene, de securite et de qualite capacite a suivre les consignes et procedures",Interim,4
Femmes de chambre et des valet de chambre,ManpowerGroupe,Tourisme / Hôtellerie / Restauration,Rabat,,de 3 ans dans un poste similaire pour un,Interim,6
Commercial en textile & produits finis,AMA AMENAGEMENT,Commercial / Vente,Casablanca,sou,,A discuter,1
Recrutement collaborateurs polyvalent,LABELVIE SA,Grande Distribution,Casablanca,-bac ou bien diplome (qualification t technicien ) -sens de service et esprit d'equipe,,Anapec,3
Receptionniste,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,"en communication et en service client connaissance d'une autre langue (arabe, espagnol, etc.) experience dans le secteur hotelier ou touristique connaissances de base en comptabilite","en accueil ou en secretariat excellente maitrise du francais et de l'anglais (oral et ecrit) connaissances de base en gestion administrative maitrise des outils bureautiques (word, excel, etc.) sens de l'organisation et rigueur excellentes",Interim,6
Agent de nettoyage,BEINTERIM,Tourisme / Hôtellerie / Restauration,Essaouira,,dans un poste similaire souhaitee capacite a travailler en autonomie,Interim,6
Caissières à,AFRICA STAFFING,Commercial / Vente,Casablanca,"experience souhaitee dans un poste similaire (distribution, restauration, commerce) presentation soignee, sens du service et bonne communication serieux(se), organise(e) et ponctuel(le) maitrise de base des outils de caisse",client.,Interim,4
Agent scheduler,,Transport / Achat / Logistique,Casablanca,". bac +3 en transport et logistique . diplome dune ecole specialisee (type istl / ofppt ou equivalent) . une experience confirmee dans un poste similaire . bonne maitrise des techniques de planification et dordonnancement . sens de lorganisation, rigueur et reactivite . esprit dequipe et bonne capacite de communication . bonne maitrise des outils informatiques (excel, logiciels logistiques...)","confirmee dans un poste similaire . bonne maitrise des techniques de planification et dordonnancement . sens de lorganisation, rigueur et reactivite . esprit dequipe et bonne capacite de communication . bonne maitrise des outils informatiques (excel, logiciels logistiques...)",A discuter,7
Receptioniste spa,BEINTERIM,Tourisme / Hôtellerie / Restauration,Al hoceima,,dans un poste similaire ou en hotellerie souhaitee,Interim,6
Recrutement contrôleur de nuit,,Sécurité / Surveillance / Gardiennage,Marrakech,"- niveau detudes : bac+2 - experience en surveillance ou securite souhaitee - serieux, ponctuel et discipline - capacite a travailler de nuit - bonne condition physique et sens de lorganisation lieu : marrakech merci denvoyer votre cv via lannonce ou de nous contacter pour postuler.","en surveillance ou securite souhaitee - serieux, ponctuel et discipline - capacite a travailler de nuit - bonne condition physique et sens de lorganisation lieu : marrakech merci denvoyer votre cv via lannonce ou de nous contacter pour postuler.",A discuter,4
Gérant magasin prêt à porter,sarl,Commercial / Vente,Tanger,,"en retail, minimum de 5 ans . notre magasin est specialise en vente d'article pour femme et homme. - nous recrutons une personne dynamique et serieuse avec un bon contact client. - personne interessee, veuillez, envoyer votre cv avec photo.",A discuter,1
Assistante administrative et commerciale,Centre Académique Privé de la Formation professionnelle CAFP,Autre,Casablanca,"bac +3 en gestion, commerce ou equivalent bonne maitrise des outils informatiques (word, excel, email) bon niveau en francais (oral et ecrit) sens de laccueil, organisation et serieux esprit commercial et bonne communication une premiere experience est souhaitable",est souhaitable,A discuter,4
Responsable maintenance jorf lasfar ( ),SMM SOCODAM DAVUM,Construction / Btp,El jadida,"cles : sens de lorganisation, methode et rigueur. dynamisme, reactivite et flexibilite. capacite a encadrer des equipes et a gerer plusieurs projets simultanement. connaissance approfondie des normes de maintenance preventive et corrective.",minimum 5 ans dans un poste similaire avec une forte experience dans la gestion de chantiers et la conduite des travaux.,CDI,4
Assistante gouvernante,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,en communication et en service client. sens des responsabilites et discretion. capacite a s'adapter a un environnement multiculturel.,"averee en gestion de maison, idealement dans un contexte international ou haut de gamme. excellente maitrise du francais et de l'anglais, une autre langue est un atout. capacite a gerer plusieurs taches simultanement et a travailler de maniere autonome. sens aigu du detail, rigueur et organisation. disponibilite et flexibilite pour des horaires variables. excellentes",Interim,6
Standardiste,BestProfil,Tourisme / Hôtellerie / Restauration,Marrakech,en communication ecrite et orale. capacite a travailler de maniere autonome et en equipe. sens aigu du detail et de l'organisation. connaissance des normes iso ou d'autres systemes de gestion de la qualite est un atout.,"prealable dans un role similaire, idealement dans le secteur de l'hotellerie ou des services. excellentes",Interim,6
Stagiaire rh chellalate,Maroc Express,Ressources Humaines / Recrutement / Intérim,Casablanca,,"3 a 6 mois, debut des que possible",Stage,3
Agent de suivi de flotte gps,OZONEXPRESS,Transport / Achat / Logistique,Casablanca,"experience terrain obligatoire (suivi de flotte, transport, logistique ou","terrain obligatoire (suivi de flotte, transport, logistique ou",A discuter,7
Commercial terrain,STG TELEMATICS MOROCCO,Commercial / Vente,Tanger,"bac+3 en commerce, gestion ou","souhaitee en vente terrain ou b2b excellent sens relationnel et fibre commerciale capacite de negociation et orientation resultats autonomie, organisation et perseverance bonne connaissance de la region de tanger permis b",A discuter,1
Agent de pointage hay mohammadi,OZONEXPRESS,Transport / Achat / Logistique,Casablanca,- age : 21 ans et plus - niveau scolaire : niveau bac-bac - experience : non exigee debutant bienvenu - residence : casablanca-region hay mohammadi (obligatoire) - a laise avec les systemes informatique vos,non exigee debutant bienvenu - residence : casablanca-region hay mohammadi (obligatoire) - a laise avec les systemes informatique vos,A discuter,7
chargé de clientèle d'agence,DEKRA,Banque / Finance / Assurance,Oujda,,merci d'envoyer vos candidature,Interim,0
Microbiologistes et chimistes cdi,Groupe Multi-Laboratoire LC2A,Santé / Médical,Agadir,- bac+3/5 en biologie microbiologie ou,"s en tant que technicien laboratoire ou dans un poste similaire - bonne maitrise des techniques danalyses microbiologiques - serieux, organise et esprit dequipe - poste base a agadir merci d'envoyer votre cv via ce site marocannonces bonne chance a tous",A discuter,3
Chargé de clientèle d'agence,DEKRA,Banque / Finance / Assurance,Fès,,merci d'envoyer vos candidature,Interim,0
chargé de clientèle d'agence casa,DEKRA,Banque / Finance / Assurance,Casablanca,,merci d'envoyer vos candidature,Interim,0
Plusieurs postes restaurant à,GROUPE RESTAURANTS,Tourisme / Hôtellerie / Restauration,Marrakech,"s qualifies pour renforcer ses equipes en cuisine. nous recrutons pour les postes suivants : chef de partie snack chef de partie chaud chef de partie garde-manger sushi man les candidats retenus devront faire preuve de rigueur, de creativite et d'une solide experience en restauration. une bonne maitrise des techniques culinaires propres a chaque poste est indispensable.",en restauration. une bonne maitrise des techniques culinaires propres a chaque poste est indispensable.,Interim,6
Charge de caisse,prestation de service,Banque / Finance / Assurance,Marrakech,"charge de caisse titulaire d'un bac+3 en eco et gestion, commerce, avec au moins un an d'experience dans le",dans le,A discuter,4
Gestionnaire de stock,prestation de service,Transport / Achat / Logistique,Berrechid,"bac +2 en logistique / gestion de stock minimum 1 an dexperience maitrise des outils informatique organisation, rigueur, communication pour les interesses, merci de nous envoyer votre candidature. salutations.","maitrise des outils informatique organisation, rigueur, communication pour les interesses, merci de nous envoyer votre candidature. salutations.",CDD,7
Manager h/f mohammedia,McDonald's,Tourisme / Hôtellerie / Restauration,Casablanca,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,6
Manager (h/f),McDonald's,Tourisme / Hôtellerie / Restauration,Rabat,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,6
Infirmière / technicien climatisation,a domicile,Santé / Médical,Casablanca,,+ 06 ans.,A discuter,3
Manager h/f,McDonald's,Tourisme / Hôtellerie / Restauration,Kénitra,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,6
Manager h/f,McDonald's,Tourisme / Hôtellerie / Restauration,Salé,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,6
Chef de personnel,Confidentiel,Autre,Salé,"bac+3 a bac+5 en gestion des ressources humaines, droit social ou equivalent minimum 8 a 10 ans dexperience, idealement dans le secteur textile ou industriel excellente maitrise de la legislation sociale marocaine sens de lorganisation, rigueur et confidentialite bon relationnel et capacite a gerer des situations sensibles poste base a sale - merci dadresser votre candidature via ce site marocannonces",", idealement dans le secteur textile ou industriel excellente maitrise de la legislation sociale marocaine sens de lorganisation, rigueur et confidentialite bon relationnel et capacite a gerer des situations sensibles poste base a sale - merci dadresser votre candidature via ce site marocannonces",CDI,4
Grutier skhirat,MAROC FORCE EMPLOI,Construction / Btp,Temara,grutier : caces grue (ou equivalent) obligatoire + permis c/ec souhaite pour grue mobile,,Interim,3
Technicien informatique & développement,PC MAROC,Informatique / Multimédia / Internet,Casablanca,,dans les solutions de caisse est un plus,CDI,4
Chargé(e) organisation & process,RH,Entreprise / Import / Export,Casablanca,"formation superieure bac +3 a bac +5 en management, qualite, audit, organisation ou equivalent experience de 3 a 5 ans minimum dans une",de 3 a 5 ans minimum dans une,CDI,4
Responsable exploitation logistique /,recrute,Transport / Achat / Logistique,Casablanca,"formation superieure en logistique, supply chain ou gestion experience significative dans un poste similaire forte capacite dorganisation et de leadership maitrise des outils de gestion de stock et dexcel rigueur, reactivite et sens des responsabilites","significative dans un poste similaire forte capacite dorganisation et de leadership maitrise des outils de gestion de stock et dexcel rigueur, reactivite et sens des responsabilites",CDI,7
Assistante commerciale agence tanger,GROUP LE MATIN,Édition / Imprimerie / Journalisme,Casablanca,"- bac+2 a bac+4 en commerce, gestion ou equivalent - premiere experience dans une",dans une,CDI,4
Comptable confirmé(e),société,Autre,Casablanca,"diplome en comptabilite, finance ou gestion ; minimum 5 ans dexperience dans un poste similaire ; bonne maitrise des outils bureautiques (excel, logiciels comptables, erp) ; connaissance solide des normes comptables et fiscales locales ; esprit danalyse, rigueur, autonomie et sens de la confidentialite ; bon relationnel et capacite a travailler en equipe.","dans un poste similaire ; bonne maitrise des outils bureautiques (excel, logiciels comptables, erp) ; connaissance solide des normes comptables et fiscales locales ; esprit danalyse, rigueur, autonomie et sens de la confidentialite ; bon relationnel et capacite a travailler en equipe.",CDI,2
Pré vendeur à (food),SAPLINCO,Commercial / Vente,Meknès,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,1
Trade marketing & merchandising ( retail ),Multinational,Mode / Luxe / Beauté,Casablanca,- bac+5 en marketing / communication - experience de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,CDI,4
Responsable relation client,Multinational,Mode / Luxe / Beauté,Casablanca,relationnelles et organisationnelles,client cross-canal - superviser la qualite et la conformite des donnees clients,CDI,3
Chaudronnier,manpower,Autre,Berrechid,"diplome en chaudronnerie, construction metallique ou equivalent experience souhaitee dans un environnement industriel, idealement automobile bonne maitrise des techniques de soudure et des outils de fabrication rigueur, autonomie et esprit dequipe","souhaitee dans un environnement industriel, idealement automobile bonne maitrise des techniques de soudure et des outils de fabrication rigueur, autonomie et esprit dequipe",Interim,4
Techniciens Électromécanique Électrotechnique,manpower,Autre,Berrechid,"diplome de technicien specialise en electromecanique ou electrotechnique experience souhaitee dans un environnement industriel (idealement automobile) bonnes connaissances en electricite industrielle, automatisme et mecanique esprit danalyse, rigueur et sens des responsabilites capacite a travailler en equipe conditions","souhaitee dans un environnement industriel (idealement automobile) bonnes connaissances en electricite industrielle, automatisme et mecanique esprit danalyse, rigueur et sens des responsabilites capacite a travailler en equipe conditions",Interim,4
Consultant comptable stage pré embauche (rémunéré),Cabinet d'expertise comptable,Comptabilité / Gestion / Audit,Casablanca,linguistiques.,"reussie (stage) au sein dun cabinet comptable ; - solides connaissances en comptabilite generale et fiscalite ; - bonne maitrise du francais a lecrit comme a loral ; - rigueur, sens de lorganisation et esprit dequipe. conditions - stage remunere selon profil ; - embauche a lissue du stage ; - environnement de travail professionnel et formateur",CDI,2
Cherchons electromecanicien,,Édition / Imprimerie / Journalisme,Casablanca,,,A discuter,3
Cuisinier chawarma / serveurs/ commis de cuisine,agha,Tourisme / Hôtellerie / Restauration,Rabat,s suivants: - cuisinier chawarma - serveurs - commis de cuisine,,A discuter,6
Technicien laboratoire clinique,AKDITAL,Santé / Médical,Casablanca,"- licence en biologie (ou diplome equivalent). - experience dans un laboratoire danalyses medicales souhaitee. - rigueur, sens de lorganisation et esprit dequipe. - connaissance des regles de qualite, hygiene et securite.","dans un laboratoire danalyses medicales souhaitee. - rigueur, sens de lorganisation et esprit dequipe. - connaissance des regles de qualite, hygiene et securite.",CDI,4
Manutentionnaire ain harrouda transport assuré,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,,Interim,8
Réceptionniste d'hotel,,Tourisme / Hôtellerie / Restauration,Agadir,,,,6
Chef de partie pâtisserie rejoignez notre brigad,Charif,Tourisme / Hôtellerie / Restauration,Casablanca,"2+ ans dexperience en patisserie pro. creativite, rigueur et esprit dequipe. horaires matinaux precoces (des 6h) : obligatoires, aucun probleme ! avantages","en patisserie pro. creativite, rigueur et esprit dequipe. horaires matinaux precoces (des 6h) : obligatoires, aucun probleme ! avantages",CDI,6
Préparatrice de commande à sidi maarouf,Sentel,Industrie / Ingénierie / Energie,Casablanca,"- serieuse, rapide et organisee - bonne capacite a travailler en equipe - experience en preparation de commandes ou en production est un plus - respect des regles dhygiene et de qualite lieu : - sidi maarouf",en preparation de commandes ou en production est un plus - respect des regles dhygiene et de qualite lieu : - sidi maarouf,CDI,8
Aide comptable,FIMADIS,Comptabilité / Gestion / Audit,Casablanca,(criteres obligatoires),une experience prealable en fiduciaire est indispensable. outils : maitrise parfaite de sage 100 comptabilite. qualites attendues : rigueur exemplaire dans le traitement des donnees. sens de l'organisation.,,2
Assistante médicale,Cabînet médical,Accueil / Secrétariat / Administration,Casablanca,sens de contact et de communication,,A discuter,4
Expert fleet services,BEST PROFIL,Autre,Casablanca,"recrute pour son client des agents expert fleet services -casablanca poste taches et responsabilites principales relations au groupe : decliner la politique et les regles/outils/procedures du groupe localement quand cest possible et adapte au cas darval maroc. suivi de lactivite : gerer les appels entrants et sortants : fournisseurs. gerer les emails entrants et sortants : fournisseurs. enregistrer les evenements dans lapplication interne. etablir les bons de commandes destines aux fournisseurs pour les repartions (mecanique (smr), carrosserie, pneus). gestion permanente de la relation avec les prestataires arval pour toute intervention technique. amelioration continue de la qualite de service livre aux clients darval suivi des reparations sinistres : prendre en charge la reparation des vehicules sinistres declares sur systeme. sassurer du passage de lexpert dans la journee. demander et valider les devis de reparation sur le systeme din",,Interim,0
Infirmière polyvalente,MAROC FORCE EMPLOI,Automobile,Tanger,,,Interim,3
Cariste,Dama,Autre,Casablanca,,"anterieure en tant que cariste, de preference dans un environnement d'entrepot ou de logistique. - maitrise de l'utilisation d'engins de manutention, y compris les chariots elevateurs. - connaissance des regles de securite en entrepot et respect strict de ces regles. - capacite a travailler en equipe, a communiquer efficacement et a suivre les instructions. - sens de l'organisation, rigueur et souci du detail. - disponibilite pour travailler selon des horaires flexibles.",Interim,3
Pompiste,RH,Autre,Bouskoura,,dans un poste similaire.,Interim,3
Assistante de direction,Confidentiel,Autre,Marrakech,"bac+2 / bac+3 en assistanat de direction, gestion ou comptabilite experience de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)","de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)",CDI,4
Chef d'équipe,CONFIDENTIEL,Automobile,Tifelt,"bac+2 / bac+3 en industrie, textile ou equivalent experience confirmee dans un poste similaire, idealement en textile automobile bon leadership et sens de lorganisation capacite a gerer une equipe et a travailler sous pression maitrise des outils de production et des indicateurs de performance.","confirmee dans un poste similaire, idealement en textile automobile bon leadership et sens de lorganisation capacite a gerer une equipe et a travailler sous pression maitrise des outils de production et des indicateurs de performance.",A discuter,4
Technicien plombier tata,Anonyme,Construction / Btp,Zagora,"formation en plomberie ou experience equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place","equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place",Interim,4
Electricien de bâtiment,Confidentiel,Construction / Btp,Agadir,,,Interim,3
Commercial b2b dar bouazza,BEST PROFIL,Commercial / Vente,Casablanca,experience en vente b2b (idealement industrie / equipement) bon relationnel et sens de negociation autonomie et rigueur lieu : dar bouazza casablanca,en vente b2b (idealement industrie / equipement) bon relationnel et sens de negociation autonomie et rigueur lieu : dar bouazza casablanca,CDI,1
Commerciale b2b régie publicitaire ( ),BEST PROFIL,Commercial / Vente,Casablanca,- bac+5 en commerce / marketing / communication - 1 a 2 ans dexperience en commercial b2b (idealement en agence de communication ou marketing) - motorisee (obligatoire) - excellente maitrise du francais - bonne maitrise des techniques de vente et de negociation - tres bon relationnel et orientation resultats,en commercial b2b (idealement en agence de communication ou marketing) - motorisee (obligatoire) - excellente maitrise du francais - bonne maitrise des techniques de vente et de negociation - tres bon relationnel et orientation resultats,CDI,1
Ingénieur structure bureau de contrôle technique,BEST PROFIL,Construction / Btp,Casablanca,"- ingenieur en genie civil - experience minimum de 5 ans en bureau de controle technique - maitrise du controle des structures : beton arme, charpente metallique, vrd - bonne connaissance des normes de construction - capacite danalyse et redaction de rapports techniques - serieux, rigueur et autonomie","minimum de 5 ans en bureau de controle technique - maitrise du controle des structures : beton arme, charpente metallique, vrd - bonne connaissance des normes de construction - capacite danalyse et redaction de rapports techniques - serieux, rigueur et autonomie",CDI,4
Serveuse,BEINTERIM,Tourisme / Hôtellerie / Restauration,Marrakech,"e rechercher ; accueillir chaleureusement les clients prendre les commandes et assurer le service en salle veiller a la satisfaction des clients assurer la mise en place et le nettoyage des tables respecter les regles dhygiene et de securite bonne presentation et sens du relationnel rapide, organisee et souriante experience dans un poste similaire souhaitee esprit dequipe et sens du service",dans un poste similaire souhaitee esprit dequipe et sens du service,Interim,6
Resp. développement commercial btp,Société d'industrie manufacturière,Construction / Btp,Agadir,"-ingenieur en genie civil ou equivalent -3 a 5 ans dexperience en developpement commercial idealement dans le btp -a laise avec les outils crm -excellent relationnel, sens du business et gout du challenge -autonome, terrain et oriente resultats","en developpement commercial idealement dans le btp -a laise avec les outils crm -excellent relationnel, sens du business et gout du challenge -autonome, terrain et oriente resultats",CDI,1
ChargÉ(e) d’appels d’offres bac+5,,Industrie / Ingénierie / Energie,Casablanca,requises : - rigueur et organisation - capacite danalyse et de synthese - gestion des priorites et respect des delais - esprit de coordination et travail en equipe - bonne maitrise dexcel (odoo est un atout),"de 2 a 5 ans dans un poste similaire - bonne maitrise de la reglementation des marches publics au maroc - maitrise des outils bureautiques (word, excel, pdf) et des plateformes dediees - excellentes capacites redactionnelles",Interim,8
Responsable / coordinateur logistique,PJ,Industrie / Ingénierie / Energie,Casablanca,"- bac+3 en logistique, gestion ou equivalent - minimum 3 ans dexperience en logistique ou gestion dequipes - sens de lorganisation, rigueur et capacite a gerer plusieurs priorites - bonne maitrise dexcel (connaissance dodoo souhaitee)","en logistique ou gestion dequipes - sens de lorganisation, rigueur et capacite a gerer plusieurs priorites - bonne maitrise dexcel (connaissance dodoo souhaitee)",Interim,8
Commercial(e) b2b / bac+4,PJ,Commercial / Vente,Casablanca,"relationnelles et de negociation - autonomie, rigueur et esprit dinitiative - bonne maitrise du francais (anglais souhaite) - permis de conduire recommande conditions : - remuneration fixe + com","en vente b2b, idealement dans le rayonnage, lequipement industriel ou lamenagement professionnel - excellentes",Interim,1
Assistante logistique internationale,,Construction / Btp,Casablanca,maitrise des procedures d'importation et des incoterms.,,Interim,4
Électromécanicien (Électrogènes),Confidentiel,Maintenance / Entretien,Marrakech,.,"souhaitee en maintenance de groupes electrogenes . mobile et disponible pour des deplacements frequents . serieux, rigoureux et autonome",Interim,3
Receptionniste hotel,,,Marrakech,"premiere experience en hotellerie ou en accueil souhaitee excellente presentation, sens du service et du relationnel organisation, autonomie et rigueur maitrise du francais et de langlais (une 3e langue est un plus) connaissance dun logiciel de reservation (pms) appreciee ce que nous offrons : un environnement de travail convivial une equipe soudee et bienveillante possibilites devolution au sein de lhotel","en hotellerie ou en accueil souhaitee excellente presentation, sens du service et du relationnel organisation, autonomie et rigueur maitrise du francais et de langlais (une 3e langue est un plus) connaissance dun logiciel de reservation (pms) appreciee ce que nous offrons : un environnement de travail convivial une equipe soudee et bienveillante possibilites devolution au sein de lhotel",,4
Gestionnaire de production en assurance,BEST PROFIL,Banque / Finance / Assurance,Casablanca,"bac+2 a bac+3 en assurance, gestion ou equivalent experience prealable obligatoire dans un poste similaire bonne maitrise des produits dassurance et des procedures de souscription a laise avec les outils informatiques rigueur, organisation et sens du detail bon relationnel condition importante : resider a proximite de sidi bernoussi (critere indispensable).","prealable obligatoire dans un poste similaire bonne maitrise des produits dassurance et des procedures de souscription a laise avec les outils informatiques rigueur, organisation et sens du detail bon relationnel condition importante : resider a proximite de sidi bernoussi (critere indispensable).",Interim,4
Regional transport & empty packaging coordinator,Multinational,Grande Distribution,Salé,manageriales et force de conviction,"en logistique - excellente maitrise du francais et de langlais - bonne capacite dadaptation dans un environnement dynamique et complexe - esprit danalyse, rigueur et sens de lanticipation - forte capacite de communication et de coordination transverse",Interim,3
Chargée de clientèle arabophone (f),CL,Commercial / Vente,Casablanca,s dynamiques avec une forte energie positive pour un poste de prise de rendez-vous et suivi client. votre role : contacter les prospects avec enthousiasme creer un echange positif avec les clients assurer le suivi et la planification des rendez-vous,,CDI,1
Infirmier anesthésiste bloc //,AKD,Santé / Médical,Khouribga,,,CDI,3
Infirmiers polyvalents //,AKD,Santé / Médical,Tanger,,,CDI,3
