Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Chargé (e) de compte commercial,SARL,Transport / Achat / Logistique,Casablanca,"bac+3 a bac+5 (commerce, logistique ou equivalent) experience minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable)",minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable),CDI,29 Apr-13:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370076/chargé-(e)-de-compte-commercial.html
Assistant(e) rh / chargé(e) de recrutement,TANKIT,Ressources Humaines / Recrutement / Intérim,Tanger,"- bac+2/3 en ressources humaines ou equivalent - premiere experience en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate","en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate",CDI,29 Apr-13:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368432/Assistant(e)-RH-Chargé(e)-de-Recrutement.html
Administrateur des ventes,SAFE JOB,Industrie / Ingénierie / Energie,Casablanca,,,Interim,29 Apr-13:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367710/Administrateur-des-ventes.html
Responsable marketing & développement commercial,Cabo azul,Marketing / Communication / Publicité / Rp,Casablanca,experience en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,A discuter,29 Apr-12:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366942/Responsable-Marketing-et-Développement-Commercial.html
Un agent de tracking / shift nuit /,transport logistique,Transport / Achat / Logistique,Tanger,,,A discuter,29 Apr-12:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366172/Un-agent-de-tracking-shift-nuit-Tanger.html
Assistante sav,DAMA,Industrie / Ingénierie / Energie,Had Soualem,"formation bac+2 une premiere experience dans un poste similaire est souhaitee bonne maitrise des outils informatiques bon relationnel et sens du service client organisation, rigueur et reactivite conditions : poste base a had soualem transport assure depuis casablanca","dans un poste similaire est souhaitee bonne maitrise des outils informatiques bon relationnel et sens du service client organisation, rigueur et reactivite conditions : poste base a had soualem transport assure depuis casablanca",Interim,29 Apr-12:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10355127/Assistante-sav-had-soualem.html
Commercial industriel,SMARTIMA AUTOMATION,Commercial / Vente,Casablanca,"experience confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons","confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons",A discuter,29 Apr-12:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371643/COMMERCIAL-INDUSTRIEL.html
Développeuse web,,Informatique / Multimédia / Internet,Casablanca,,apres la,A discuter,29 Apr-12:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368423/Développeuse-web-–-casablanca.html
Kinésithérapeutes aéroport & marrakech,Centre de bien être,Santé / Médical,Casablanca,"diplome en kinesitherapie * bon niveau en francais et en anglais * sens du service, serieux et presentation soignee conditions :",,Anapec,29 Apr-12:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367682/Kinésithérapeutes-Aéroport-Casablanca-et-Marrakech.html
Comptable,,Comptabilité / Gestion / Audit,Casablanca,"formation bac+3en comptabilite, gestion ou finance premiere experience en cabinet souhaitee bonne maitrise des outils comptables (sage, excel...) connaissance de la reglementation fiscale marocaine rigueur, organisation et esprit danalyse","en cabinet souhaitee bonne maitrise des outils comptables (sage, excel...) connaissance de la reglementation fiscale marocaine rigueur, organisation et esprit danalyse",CDI,29 Apr-12:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366159/Comptable.html
Responsable service marché public,CANALCO SARL,Construction / Btp,Marrakech,"bac+2 a bac+5 (gestion, metre, genie civil,ou equivalent) experience confirmee dans un poste similaire bonne connaissance des marches publics et metre. maitrise des outils bureautiques (word, excel,autocad etc.) esprit danalyse, rigueur et organisation bon niveau en francais (larabe est un plus) - localisation : marrakech - type de","confirmee dans un poste similaire bonne connaissance des marches publics et metre. maitrise des outils bureautiques (word, excel,autocad etc.) esprit danalyse, rigueur et organisation bon niveau en francais (larabe est un plus) - localisation : marrakech - type de",CDI,29 Apr-12:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363732/responsable-service-marché-public.html
Plusieurs postes (restaurant) /,PAMPAM,Tourisme / Hôtellerie / Restauration,Tanger,experience souhaitee dans le,souhaitee dans le,Anapec,29 Apr-12:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362086/Plusieurs-postes-(restaurant)-tanger.html
Commercial immobilier,JALIL,Commercial / Vente,Casablanca,"formation en commerce, immobilier ou equivalent experience en vente appreciee excellent sens du relationnel et de la negociation autonomie, motivation et esprit commercial bonne presentation","en vente appreciee excellent sens du relationnel et de la negociation autonomie, motivation et esprit commercial bonne presentation",CDI,29 Apr-12:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366155/commercial-immobilier.html
Operatrice de sasie,PRODUCTION AGROALIMENTAIRE,Accueil / Secrétariat / Administration,Nouaceur,maitrise du logiciel sage bonne maitrise dexcel et des outils bureautiques capacite a saisir rapidement et avec precision maitrise des outils informatiques,souhaitee en saisie ou comptabilite une experience sur sage est un fort atout - transport assuree par la societe,A discuter,29 Apr-12:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362957/OPERATRICE-DE-SASIE.html
Manager h/f,McDonald's Maroc,Tourisme / Hôtellerie / Restauration,Mohammedia,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,29 Apr-12:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362348/Manager-HF-Mohammedia.html
Infographiste/assistante polyvalente,MEDICALEX,Santé / Médical,Casablanca,"formation en infographie, design graphique ou equivalent maitrise des logiciels : adobe photoshop, illustrator, indesign maitrise des outils bureautiques creativite, sens du detail et respect des delais capacite a travailler en equipe et autonomie in",,CDI,29 Apr-12:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370900/INFOGRAPHISTEASSISTANTE-POLYVALENTE.html
Vendeur(se) à l’aéroport d’ &casablanca,Cosmétique bio,Commercial / Vente,Agadir,- experience en vente obligatoire - etre motorise(e) (obligatoire) - bonne maitrise du francais et de langlais - presentation soignee et sens du service client - disponible en horaires flexibles - capable dassurer des shifts de nuit nous offrons,en vente obligatoire - etre motorise(e) (obligatoire) - bonne maitrise du francais et de langlais - presentation soignee et sens du service client - disponible en horaires flexibles - capable dassurer des shifts de nuit nous offrons,Anapec,29 Apr-12:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370038/Vendeur(se)-à-l’aéroport-d’Agadir-et-Casablanca.html
Automaticien,SARL,Industrie / Ingénierie / Energie,Deroua,en electronique - programmation - informatique industrielle - regulation des processus votre profil : de,en tant que technicien maintenance dans une industrie.,CDI,29 Apr-12:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362082/AUTOMATICIEN.html
Chargé d'accueil showroom (h/f) bouskoura&ainsebaa,Confidentiel,Automobile,Casablanca,,en accueil ou relation client est un atout,CDI,29 Apr-12:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366689/Chargé-daccueil-showroom-(hf)-bouskoura-et-ainsebaa.html
Customer advisor (bilingue) / bac+3,,Automobile,Casablanca,- bac+3 minimum,2 ans minimum dans un poste similaire dans le secteur automobile (obligatoire). - maitrise obligatoire de loutil informatique lieu :casa,CDI,29 Apr-12:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10241520/Customer-advisor-(bilingue)-bac3.html
Charge (e) marketing digital,,Marketing / Communication / Publicité / Rp,Casablanca,"requises : - bonne maitrise du marketing digital ; - gestion de reseaux sociaux : bonne maitrise de google ads/ bonne maitrise de meta pour lancement des campagnes publicitaires. - aisance redactionnelle ; - gestion de site web e-commerce (wordpress) , - referencement seo...; - bonne maitrise des outils bureautiques, caneva... ; - bonne elocution en francais ; profil : bac+5 dans une ecole de commerce avec une specialite marketing et 3 ans d'experience en tant que responsable marketing digital. si vous vous retrouvez dans ce profil, ecrivez nous vite.",dans un poste similaire et un esprit creatif.,A discuter,29 Apr-12:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370891/Charge-(e)-Marketing-Digital.html
Chargé d'affaire (btp) zone sud,Société d'industrie manufacturière,Industrie / Ingénierie / Energie,Agadir,,"dans le btp (idealement) -maitrise des crm -fort sens commercial et aisance relationnelle -profil terrain, autonome et oriente resultats localisation : agadir (mobilite requise sur la region sud)",CDI,29 Apr-12:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371614/Chargé-daffaire-(BTP)-Zone-Sud-Agadir.html
Chargé de clientèle d'agence,DEKRA,Banque / Finance / Assurance,Tanger,,,Interim,29 Apr-11:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371595/chargé-de-clientèle-dagence.html
Commercial de terrain (h/f),,Commercial / Vente,Marrakech,"formation bac+2 minimum en commerce ou equivalent experience en tant que commercial de terrain (souhaitee dans les services) excellente presentation et bonne elocution sens du contact et tenue vestimentaire professionnelle exigee forte capacite de negociation et de persuasion autonomie, rigueur et esprit de challenge maitrise du francais et anglais(larabe est un atout) permis de conduire souhaite - candidature via ce site marocannonces","en tant que commercial de terrain (souhaitee dans les services) excellente presentation et bonne elocution sens du contact et tenue vestimentaire professionnelle exigee forte capacite de negociation et de persuasion autonomie, rigueur et esprit de challenge maitrise du francais et anglais(larabe est un atout) permis de conduire souhaite - candidature via ce site marocannonces",A discuter,29 Apr-11:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10343561/Commercial-de-terrain-(hf).html
Opérateur en électromécanique lissasfa,Confidentiel,Construction / Btp,Casablanca,,dans un poste similaire,Interim,29 Apr-11:27,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371571/Opérateur-en-électromécanique-lissasfa.html
Ouvrier polyvalent,SARL,Entreprise / Import / Export,Casablanca,,,CDD,29 Apr-11:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371569/ouvrier-polyvalent.html
Agent recouvrement terrain motorise,BEST PROFIL,Autre,Casablanca,,,CDI,29 Apr-11:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371567/AGENT-RECOUVREMENT-TERRAIN-MOTORISE-CASABLANCA.html
Électricien ht bt tata intérim,Confidentiel,Industrie / Ingénierie / Energie,Agadir,,,Interim,29 Apr-11:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371565/Électricien-ht-bt-tata-intérim.html
Chef de partie cuisine,RAY'S SAN FRANCISCO,Tourisme / Hôtellerie / Restauration,Tanger,"experience confirmee en tant que chef de partie en cuisine chaude. maitrise des techniques de cuisson et des preparations chaudes. capacite a encadrer une equipe et a travailler sous pression. rigueur, organisation et sens du detail. dynamisme et professionnalisme. nous offrons : un environnement de travail dynamique. opportunites devolution au sein du restaurant.","confirmee en tant que chef de partie en cuisine chaude. maitrise des techniques de cuisson et des preparations chaudes. capacite a encadrer une equipe et a travailler sous pression. rigueur, organisation et sens du detail. dynamisme et professionnalisme. nous offrons : un environnement de travail dynamique. opportunites devolution au sein du restaurant.",A discuter,29 Apr-11:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371563/Chef-de-Partie-Cuisine-Tanger.html
Chauffeur porte char,Société du gros oeuvre,Construction / Btp,El jadida,"titulaire du permis de conduire categorie ec avec une carte de conducteur a jour. experience significative de 3 a 5 ans minimum sur un poste similaire, imperativement dans le secteur du btp et gros uvre. maitrise de la conduite en environnement de chantier (acces parfois difficiles et terrains accidentes). residence souhaitee sur el jadida ou ses environs proches. si vous etes interesse par cette opportunite et que votre profil correspond, nhesitez pas a nous envoyer votre cv.","significative de 3 a 5 ans minimum sur un poste similaire, imperativement dans le secteur du btp et gros uvre. maitrise de la conduite en environnement de chantier (acces parfois difficiles et terrains accidentes). residence souhaitee sur el jadida ou ses environs proches. si vous etes interesse par cette opportunite et que votre profil correspond, nhesitez pas a nous envoyer votre cv.",Interim,29 Apr-11:18,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371560/Chauffeur-porte-char-,-el-jadida.html"
Chef de rang expérimenté,RAY'S SAN FRANCISCO,Tourisme / Hôtellerie / Restauration,Tanger,,"raffinee, cette opportunite est faite pour vous.",A discuter,29 Apr-11:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371559/Chef-de-Rang-expérimenté-Tanger.html
Chef sushi,RAY'S SAN FRANCISCO,Tourisme / Hôtellerie / Restauration,Tanger,"experience confirmee en tant que chef sushi ou poste similaire. excellente maitrise des techniques de decoupe et de preparation. sens du detail, rigueur et creativite. bonne gestion du stress et esprit dequipe. connaissance des produits japonais et des standards de qualite. conditions : poste confidentiel au sein dun etablissement reconnu. environnement de travail professionnel et dynamique. remuneration attractive selon profil et experience.","confirmee en tant que chef sushi ou poste similaire. excellente maitrise des techniques de decoupe et de preparation. sens du detail, rigueur et creativite. bonne gestion du stress et esprit dequipe. connaissance des produits japonais et des standards de qualite. conditions : poste confidentiel au sein dun etablissement reconnu. environnement de travail professionnel et dynamique. remuneration attractive selon profil et experience.",A discuter,29 Apr-11:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371558/Chef-Sushi-Tanger.html
Station service recrute des ouvriers hay riad,Particulier,Autre,Rabat,,,A discuter,29 Apr-11:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371546/Station-service-recrute-des-ouvriers-hay-riad.html
Agents de sécurité,Artus,Tourisme / Hôtellerie / Restauration,Agadir,,confirmee dans un hotel de luxe est obligatoire.,Interim,29 Apr-11:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371544/Agents-de-sécurité-Agadir.html
Chauffeur poids lourds,SARL,Entreprise / Import / Export,Casablanca,"- permis de conduire valide c ,ec - experience minimum de 2 ans dans un poste similaire - bonne connaissance des itineraires et de la reglementation routiere - sens des responsabilites et ponctualite - bon relationnel et presentation soignee - autonomie et rigueur",minimum de 2 ans dans un poste similaire - bonne connaissance des itineraires et de la reglementation routiere - sens des responsabilites et ponctualite - bon relationnel et presentation soignee - autonomie et rigueur,CDD,29 Apr-10:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371532/Chauffeur-poids-lourds.html
Aide cuisinier intérim ain harrouda zenata,Confidentiel,Tourisme / Hôtellerie / Restauration,Casablanca,,dans un poste similaire.,Interim,29 Apr-10:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371525/Aide-cuisinier-intérim-ain-harrouda-zenata.html
Réceptionniste clinique,AKDITAL,Accueil / Secrétariat / Administration,Casablanca,"bac +2 en secretariat medical, secretariat ou gestion d","confirmee au sein dun service de cardiologie, pour rejoindre notre equipe a casablanca.",CDI,29 Apr-10:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371523/Réceptionniste-Clinique-Casablanca.html
Magasinier,SARL,Entreprise / Import / Export,Casablanca,"niveau bac ou bac+2 en logistique ou gestion des stocks minimum 2 ans dexperience dans un poste similaire maitrise des outils informatiques (excel, logiciels de gestion de stock) la connaissance dun erp est un atout sens de lorganisation, rigueur et reactivite capacite a travailler en equipe bonne condition physique","dans un poste similaire maitrise des outils informatiques (excel, logiciels de gestion de stock) la connaissance dun erp est un atout sens de lorganisation, rigueur et reactivite capacite a travailler en equipe bonne condition physique",A discuter,29 Apr-10:42,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371520/Magasinier.html
chef de site maintenance ( marine),Anonyme,Maintenance / Entretien,Marrakech,formation en marine / maintenance navale ou,"confirmee en maintenance, idealement dans le secteur maritime experience en gestion dequipe et gestion de site bon sens de lorganisation et capacite a gerer les priorites autonomie, rigueur et esprit danalyse - localisation : marrakech - type de",Interim,29 Apr-10:33,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371116/Chef-de-Site-Maintenance-(-Marine)-–-Marrakech.html
Manager h/f,McDonald's Maroc,Tourisme / Hôtellerie / Restauration,Meknès,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,29 Apr-10:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10356911/Manager-HF-Meknès.html
manutentionnaires (h/f),manpower,Autre,Bouskoura,"bonne condition physique serieux(se), ponctuel(le) et motive(e) une premiere experience en manutention est un atou",en manutention est un atou,Interim,29 Apr-10:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371493/Manutentionnaires-(HF).html
Ouvriers zenata,Confidentiel,Immobilier,Casablanca,,,Interim,29 Apr-10:03,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367634/Ouvriers-Zenata.html
Aide livreur permis c à,Confidentiel,Grande Distribution,Casablanca,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371475/Aide-livreur-permis-C-à-Casablanca.html
Aide technicien tata,Anonyme,Construction / Btp,Zagora,"formation technique de base (electricite, maintenance ou equivalent) premiere experience en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata","en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371478/Aide-technicien-TATA.html
Technicien Électricien industriel & ht_bt tata,Anonyme,Construction / Btp,Zagora,,"confirmee en ht/bt - bonne maitrise des equipements et reseaux electriques industriels - autonomie, rigueur et sens des responsabilites - experience en chantier fortement souhaitee - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371470/Technicien-Électricien-Industriel-et-HT-BT-TATA.html
agent administratif marketing,DEKRA,Banque / Finance / Assurance,Casablanca,,,Interim,29 Apr-9:57,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371469/,-agent-administratif-marketing.html"
Infirmière,DEKRA,Industrie / Ingénierie / Energie,Casablanca,,,Interim,29 Apr-9:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371466/infirmière.html
Chauffeurs semi remorque et chauffeurs camion solo,Confidentiel,Construction / Btp,Casablanca,,de 2 ans et plus dans un poste similaire. - poste base a lissasfa,A discuter,29 Apr-9:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10309184/Chauffeurs-semi-remorque-et-Chauffeurs-camion-Solo.html
Aide livreur permis c à,Confidentiel,Grande Distribution,Rabat,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371464/Aide-livreur-permis-C-à-Rabat.html
Assistante administrative,,Industrie / Ingénierie / Energie,Tanger,"bac+2 / bac+3 en gestion, administration ou equivalent experience prealable dans un poste similaire, idealement en milieu industriel maitrise des outils bureautiques (word, excel, powerpoint) bon niveau en francais (langlais est un atout) sens de lorganisation, rigueur et discretion bon relationnel et esprit dequipe conditions : poste base a tanger","prealable dans un poste similaire, idealement en milieu industriel maitrise des outils bureautiques (word, excel, powerpoint) bon niveau en francais (langlais est un atout) sens de lorganisation, rigueur et discretion bon relationnel et esprit dequipe conditions : poste base a tanger",A discuter,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371463/Assistante-Administrative-TANGER.html
Hôte / hôtesse,McDonald's Maroc,Tourisme / Hôtellerie / Restauration,Agadir,,"leader (gel) chez mcdonald's occupe un role central dans la satisfaction des clients et la preservation de la qualite de l'experience client du debut a la fin de leur visite. il/elle incarne la promesse de mcdonald's en servant des repas delicieux et en creant des moments agreables, accessibles a tous. sous la supervision du shift manager, le/la gel contribue activement a faire vivre la promesse client de la marque.",CDD,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10330364/Hôte-hôtesse-Agadir.html
Pré vendeur à,,Grande Distribution,Marrakech,,probante dans le,A discuter,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10335849/Pré-vendeur-à-Marrakech.html
Pré vendeur à,Confidentiel,Grande Distribution,El jadida,,probante dans le,A discuter,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10335848/Pré-vendeur-à-El-Jadida.html
Animatrice f bouskoura,Anonyme,Accueil / Secrétariat / Administration,Casablanca,"- experience souhaitable dans lanimation ou equivalent - excellente maitrise de la langue francaise, anglais est un plus - vous etes douce, patiente, et a lecoute des enfants - capacite a travailler en equipe et en autonomie","souhaitable dans lanimation ou equivalent - excellente maitrise de la langue francaise, anglais est un plus - vous etes douce, patiente, et a lecoute des enfants - capacite a travailler en equipe et en autonomie",Interim,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10285476/Animatrice-F-Bouskoura.html
Commercial (homme),RH,Grande Distribution,Rabat,,de pre-vente dans la distribution. une moto et le carburant sont fournis pour le transport. - remuneration : 4000 dh fixe + 5000 dh variable,CDI,29 Apr-9:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371449/COMMERCIAL-RABAT-(Homme).html
Chargé de portefeuille casa maarif / sbata,Fondation Arrawaj,Banque / Finance / Assurance,Casablanca,"pour le poste : charge de portefeuille - casablanca - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,29 Apr-9:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371448/Chargé-de-Portefeuille-Casa-Maarif-Sbata.html
Chargé de portefeuille et régions,Fondation Arrawaj,Banque / Finance / Assurance,Salé,"pour le poste : charge de portefeuille - sale - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,29 Apr-9:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371444/Chargé-de-Portefeuille-Salé-et-régions.html
Vendeur détail à,,Grande Distribution,ksar el kebir,,probante dans le,A discuter,29 Apr-9:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10279974/Vendeur-détail-à-KSAR-EL-KEBIR.html
Analyste rh,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371440/Analyste-RH.html
Pré vendeur à,SAPLINCO,Commercial / Vente,Salé,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10316878/Pré-vendeur-à-Salé.html
contrôleur général,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371439/Contrôleur-général-Marrakech.html
Technicien it,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371436/Technicien-IT-Marrakech.html
Agent d'inventaire /,SOLANO EMLPOI,Transport / Achat / Logistique,Casablanca,,dans le,Interim,29 Apr-9:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297708/Agent-dinventaire-casablanca.html
Chargé(e) de clientèle sur la région .,Société marocaine,Grande Distribution,Casablanca,requises : -connaissance des techniques de vente et de negociation. -bonne expression orale et ecrite. -sens de lecoute et de la communication. -orientation client et sens du service. -esprit dequipe et rigueur. -capacite a gerer les priorites et le stress.,"-bac +2 / bac +3 en commerce, gestion, marketing, ou equivalent. -1 a 2 ans dans une",CDI,29 Apr-9:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371431/Chargé(e)-de-clientèle-sur-la-région-Casablanca.html
Technicien en electricite,BESTPROFIL,Industrie / Ingénierie / Energie,Ouazzane,bac +2 premiere experience obligatoire,obligatoire. poste lister les,Interim,29 Apr-9:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371433/TECHNICIEN-EN-ELECTRICITE.html
Chargé(e) de clientèle sur la région .,Société marocaine,Grande Distribution,Tanger,requises : -connaissance des techniques de vente et de negociation. -bonne expression orale et ecrite. -sens de lecoute et de la communication. -orientation client et sens du service. -esprit dequipe et rigueur. -capacite a gerer les priorites et le stress.,"-bac +2 / bac +3 en commerce, gestion, marketing, ou equivalent. -1 a 2 ans dans une",CDI,29 Apr-8:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371428/Chargé(e)-de-clientèle-sur-la-région-Tanger.html
Comptable junior,DAMA,Comptabilité / Gestion / Audit,Casablanca,"- bac+5 en comptabilite / gestion - bonnes bases en comptabilite generale - capacite a comprendre et traiter des problematiques comptables variees - rigueur, organisation et autonomie - une premiere experience en environnement structure est souhaitable nous recrutons pour le compte de notre client un comptable(h/f)",en environnement structure est souhaitable nous recrutons pour le compte de notre client un comptable(h/f),Interim,29 Apr-8:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371427/Comptable-Junior-Casablanca.html
